city,datetime,temperature,humidity,description,wind_speed
Bengaluru,2025-07-02 09:00:00,25.49,58,light rain,8.81
Bengaluru,2025-07-02 12:00:00,25.7,59,light rain,8.38
Bengaluru,2025-07-02 15:00:00,25.05,74,light rain,7.23
Bengaluru,2025-07-02 18:00:00,21.51,77,overcast clouds,7.03
Bengaluru,2025-07-02 21:00:00,20.72,78,overcast clouds,6.97
Bengaluru,2025-07-03 00:00:00,20.57,77,overcast clouds,6.57
Bengaluru,2025-07-03 03:00:00,21.72,71,overcast clouds,7.45
Bengaluru,2025-07-03 06:00:00,23.86,61,overcast clouds,7.93
Bengaluru,2025-07-03 09:00:00,26.06,53,overcast clouds,8.16
Bengaluru,2025-07-03 12:00:00,25.4,55,overcast clouds,7.85
Bengaluru,2025-07-03 15:00:00,22.45,64,overcast clouds,7.16
Bengaluru,2025-07-03 18:00:00,20.9,69,overcast clouds,6.11
Bengaluru,2025-07-03 21:00:00,19.76,77,overcast clouds,5.98
Bengaluru,2025-07-04 00:00:00,19.27,81,overcast clouds,6.09
Bengaluru,2025-07-04 03:00:00,22.02,66,overcast clouds,8.68
Bengaluru,2025-07-04 06:00:00,27.08,48,overcast clouds,9.73
Bengaluru,2025-07-04 09:00:00,26.83,50,overcast clouds,8.64
Bengaluru,2025-07-04 12:00:00,26.13,53,overcast clouds,7.5
Bengaluru,2025-07-04 15:00:00,22.38,65,overcast clouds,7.49
Bengaluru,2025-07-04 18:00:00,20.9,71,overcast clouds,6.89
Bengaluru,2025-07-04 21:00:00,19.79,78,broken clouds,6.57
Bengaluru,2025-07-05 00:00:00,19.35,79,broken clouds,6.28
Bengaluru,2025-07-05 03:00:00,22.01,67,overcast clouds,8.72
Bengaluru,2025-07-05 06:00:00,26.54,51,overcast clouds,10.07
Bengaluru,2025-07-05 09:00:00,28.49,44,overcast clouds,10.07
Bengaluru,2025-07-05 12:00:00,26.65,50,overcast clouds,9.02
Bengaluru,2025-07-05 15:00:00,22.71,63,overcast clouds,8.07
Bengaluru,2025-07-05 18:00:00,21.2,71,overcast clouds,7.55
Bengaluru,2025-07-05 21:00:00,20.1,77,overcast clouds,6.78
Bengaluru,2025-07-06 00:00:00,19.87,78,overcast clouds,7.04
Bengaluru,2025-07-06 03:00:00,22.32,65,overcast clouds,8.62
Bengaluru,2025-07-06 06:00:00,27.49,46,overcast clouds,9.43
Bengaluru,2025-07-06 09:00:00,27.76,43,overcast clouds,9.17
Bengaluru,2025-07-06 12:00:00,27.16,46,overcast clouds,8.18
Bengaluru,2025-07-06 15:00:00,23.1,63,overcast clouds,7.7
Bengaluru,2025-07-06 18:00:00,21.16,70,overcast clouds,6.62
Bengaluru,2025-07-06 21:00:00,20.23,74,overcast clouds,6.61
Bengaluru,2025-07-07 00:00:00,19.47,78,overcast clouds,5.98
Bengaluru,2025-07-07 03:00:00,22.6,63,overcast clouds,8.23
Chennai,2025-07-02 06:00:00,33.95,53,overcast clouds,6.99
Chennai,2025-07-02 09:00:00,34.0,50,overcast clouds,7.59
Chennai,2025-07-02 12:00:00,30.49,63,light rain,4.82
Chennai,2025-07-02 15:00:00,29.42,65,light rain,3.52
Chennai,2025-07-02 18:00:00,30.39,59,light rain,2.97
Chennai,2025-07-02 21:00:00,29.77,59,overcast clouds,3.29
Chennai,2025-07-03 00:00:00,28.85,60,overcast clouds,5.34
Chennai,2025-07-03 03:00:00,30.02,53,overcast clouds,6.14
Chennai,2025-07-03 06:00:00,31.42,48,overcast clouds,8.02
Chennai,2025-07-03 09:00:00,33.06,44,overcast clouds,6.3
Chennai,2025-07-03 12:00:00,34.1,41,overcast clouds,6.97
Chennai,2025-07-03 15:00:00,31.76,51,light rain,5.95
Chennai,2025-07-03 18:00:00,31.35,50,overcast clouds,6.59
Chennai,2025-07-03 21:00:00,29.6,53,overcast clouds,6.75
Chennai,2025-07-04 00:00:00,28.53,52,overcast clouds,7.05
Chennai,2025-07-04 03:00:00,30.51,47,overcast clouds,7.89
Chennai,2025-07-04 06:00:00,34.5,39,overcast clouds,6.04
Chennai,2025-07-04 09:00:00,36.4,38,broken clouds,4.29
Chennai,2025-07-04 12:00:00,33.13,51,broken clouds,5.28
Chennai,2025-07-04 15:00:00,31.45,60,overcast clouds,4.83
Chennai,2025-07-04 18:00:00,32.37,45,overcast clouds,5.92
Chennai,2025-07-04 21:00:00,30.85,48,overcast clouds,6.15
Chennai,2025-07-05 00:00:00,29.78,50,overcast clouds,7.7
Chennai,2025-07-05 03:00:00,30.13,50,overcast clouds,7.92
Chennai,2025-07-05 06:00:00,34.33,39,overcast clouds,7.3
Chennai,2025-07-05 09:00:00,36.58,36,overcast clouds,5.18
Chennai,2025-07-05 12:00:00,35.1,40,light rain,5.82
Chennai,2025-07-05 15:00:00,31.1,58,light rain,7.46
Chennai,2025-07-05 18:00:00,31.4,51,light rain,4.68
Chennai,2025-07-05 21:00:00,30.38,50,overcast clouds,6.43
Chennai,2025-07-06 00:00:00,29.09,54,overcast clouds,6.0
Chennai,2025-07-06 03:00:00,30.75,48,overcast clouds,7.01
Chennai,2025-07-06 06:00:00,34.75,38,overcast clouds,7.12
Chennai,2025-07-06 09:00:00,36.49,34,overcast clouds,5.85
Chennai,2025-07-06 12:00:00,34.75,40,overcast clouds,4.09
Chennai,2025-07-06 15:00:00,31.62,56,light rain,4.99
Chennai,2025-07-06 18:00:00,32.31,49,overcast clouds,3.59
Chennai,2025-07-06 21:00:00,30.8,46,overcast clouds,8.31
Chennai,2025-07-07 00:00:00,29.91,52,overcast clouds,5.87
Chennai,2025-07-07 03:00:00,31.43,44,overcast clouds,7.55
Kolkata,2025-07-02 06:00:00,33.98,56,light rain,4.01
Kolkata,2025-07-02 09:00:00,33.71,58,moderate rain,3.69
Kolkata,2025-07-02 12:00:00,32.29,65,light rain,4.57
Kolkata,2025-07-02 15:00:00,29.35,78,overcast clouds,3.9
Kolkata,2025-07-02 18:00:00,28.9,81,light rain,2.64
Kolkata,2025-07-02 21:00:00,28.26,83,light rain,1.98
Kolkata,2025-07-03 00:00:00,27.92,83,light rain,3.15
Kolkata,2025-07-03 03:00:00,28.13,80,overcast clouds,3.95
Kolkata,2025-07-03 06:00:00,32.0,62,overcast clouds,4.07
Kolkata,2025-07-03 09:00:00,31.25,67,light rain,5.11
Kolkata,2025-07-03 12:00:00,30.42,70,light rain,5.28
Kolkata,2025-07-03 15:00:00,28.58,79,overcast clouds,5.12
Kolkata,2025-07-03 18:00:00,28.03,81,overcast clouds,3.98
Kolkata,2025-07-03 21:00:00,27.38,84,light rain,2.68
Kolkata,2025-07-04 00:00:00,27.66,81,light rain,0.72
Kolkata,2025-07-04 03:00:00,31.15,64,overcast clouds,1.84
Kolkata,2025-07-04 06:00:00,31.99,62,moderate rain,0.61
Kolkata,2025-07-04 09:00:00,32.03,64,moderate rain,0.44
Kolkata,2025-07-04 12:00:00,29.62,78,moderate rain,2.8
Kolkata,2025-07-04 15:00:00,28.55,82,moderate rain,4.63
Kolkata,2025-07-04 18:00:00,28.17,84,moderate rain,2.14
Kolkata,2025-07-04 21:00:00,27.39,86,moderate rain,3.19
Kolkata,2025-07-05 00:00:00,27.29,85,light rain,2.31
Kolkata,2025-07-05 03:00:00,30.49,69,overcast clouds,3.55
Kolkata,2025-07-05 06:00:00,33.04,59,light rain,3.23
Kolkata,2025-07-05 09:00:00,29.15,80,moderate rain,3.44
Kolkata,2025-07-05 12:00:00,28.29,83,light rain,4.34
Kolkata,2025-07-05 15:00:00,27.38,87,moderate rain,2.64
Kolkata,2025-07-05 18:00:00,26.9,89,light rain,3.63
Kolkata,2025-07-05 21:00:00,26.24,91,moderate rain,2.82
Kolkata,2025-07-06 00:00:00,26.45,90,light rain,2.75
Kolkata,2025-07-06 03:00:00,26.98,87,moderate rain,3.11
Kolkata,2025-07-06 06:00:00,25.33,95,moderate rain,5.86
Kolkata,2025-07-06 09:00:00,25.45,94,moderate rain,6.43
Kolkata,2025-07-06 12:00:00,25.46,93,moderate rain,5.52
Kolkata,2025-07-06 15:00:00,25.83,89,light rain,4.08
Kolkata,2025-07-06 18:00:00,25.93,89,light rain,2.48
Kolkata,2025-07-06 21:00:00,26.16,86,light rain,4.74
Kolkata,2025-07-07 00:00:00,25.67,89,light rain,3.63
Kolkata,2025-07-07 03:00:00,28.54,77,light rain,5.69
